,Unnamed: 0,Title,Date,Category,Link
0,0,Houston Transplant Doctor Indicted For Making False Statements In Patients’ Medical Records,2026-02-05,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/houston-transplant-doctor-indicted-for-making-false-statements-in-patients-medical-records/
1,1,MultiCare Health System to Pay Millions to Settle Fraud Case,2026-02-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/multicare-health-system-to-pay-millions-to-settle-fraud-case/
3,3,Delafield Man Sentenced to 18 Months’ Imprisonment for Conspiracy to Pay Health Care Kickbacks,2026-02-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/delafield-man-sentenced-to-18-months-imprisonment-for-conspiracy-to-pay-health-care-kickbacks/
4,4,Former NFL Player Convicted for $197M Medicare Fraud,2026-02-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-nfl-player-convicted-for-197m-medicare-fraud/
7,7,Florida Man Pleads Guilty to Conspiracy to Violate the Anti-Kickback Statute,2026-01-30,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-pleads-guilty-to-conspiracy-to-violate-the-anti-kickback-statute/
10,10,Yadkinville Woman Sentenced in Connection with Multi-Million Dollar Medicaid Fraud Scheme,2026-01-29,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/yadkinville-woman-sentenced-in-connection-with-multi-million-dollar-medicaid-fraud-scheme/
15,15,Repeat Health Care Fraud Offender Sentenced for Defrauding New Hampshire Medicaid,2026-01-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/repeat-health-care-fraud-offender-sentenced-for-defrauding-new-hampshire-medicaid/
16,16,"Scranton Heart Institute Agrees To Pay $48,709.20 To Settle False Claims Act Allegations",2026-01-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/scranton-heart-institute-agrees-to-pay-4870920-to-settle-false-claims-act-allegations/
17,17,Rheumatologist Agrees To Resolve False Claims Act Allegations Related To Unapproved Drugs,2026-01-28,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/rheumatologist-agrees-to-resolve-false-claims-act-allegations-related-to-unapproved-drugs/
20,20,Syracuse Area Man Pleads Guilty to Operating Kickback Scheme Involving Medicare and Medicaid,2026-01-27,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/syracuse-area-man-pleads-guilty-to-operating-kickback-scheme-involving-medicare-and-medicaid/
23,23,"Two Home Health Providers Agree to Pay $702,541 to Resolve Self-Referral Allegations",2026-01-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-home-health-providers-agree-to-pay-702541-to-resolve-self-referral-allegations/
24,24,Florida Laboratory Owner Pleads Guilty to $52M Medicare Fraud Scheme Involving Genetic Tests,2026-01-26,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-laboratory-owner-pleads-guilty-to-52m-medicare-fraud-scheme-involving-genetic-tests/
30,30,Cheshire Nurse Admits Illegally Distributing Controlled Substances,2026-01-23,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/cheshire-nurse-admits-illegally-distributing-controlled-substances/
33,33,"Chipley-Based Physical Therapy Practice Pays Over $750,000 To Resolve False Claims Act Litigation",2026-01-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chipley-based-physical-therapy-practice-pays-over-750000-to-resolve-false-claims-act-litigation/
34,34,Florida Nursing Assistant Convicted in $11.4M Health Care Fraud Scheme Targeting Medicare Beneficiaries,2026-01-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-nursing-assistant-convicted-in-114m-health-care-fraud-scheme-targeting-medicare-beneficiaries/
35,35,Traditions Health Agrees to Pay $34M to Resolve False Claims Act Liability Relating to Home Health Services Following Self Disclosure,2026-01-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/traditions-health-agrees-to-pay-34m-to-resolve-false-claims-act-liability-relating-to-home-health-services-following-self-disclosure/
37,37,"Former Zynex, Inc. Executives Charged with Health Care and Securities Fraud and Related Offenses",2026-01-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-zynex-inc-executives-charged-with-health-care-and-securities-fraud-and-related-offenses/
